node,content_length
Red_Hot_Chili_Peppers,24554
Bay_City_Rollers,13750
Avril_Lavigne,39642
The_Cars,4415
Air_Supply,8511
The_Yardbirds,9098
Chris_Cornell,35466
Grand_Funk_Railroad,5779
Arctic_Monkeys,26886
Yes_(band),21874
Smash_Mouth,7702
Neil_Young,29310
Jerry_Lee_Lewis,15439
Ritchie_Valens,6798
Drowning_Pool,5913
Billy_Joel,29414
Five_for_Fighting,12072
The_Monkees,18257
Fleetwood_Mac,20694
Alice_Cooper_(band),6587
Kaiser_Chiefs,7474
Elvis_Costello,29320
Dropkick_Murphys,14894
Goo_Goo_Dolls,8746
Golden_Earring,4339
Chicago_(band),38970
The_Verve,7912
Sam_Fender,27450
Foo_Fighters,19993
Fats_Domino,8902
Men_at_Work,7404
Velvet_Revolver,10362
Three_Days_Grace,20666
Eagles_(band),17426
The_Jam,8966
Joy_Division,9335
The_Velvet_Underground,15594
Jeff_Buckley,13746
Greta_Van_Fleet,10162
Blue_Öyster_Cult,11079
Sonic_Youth,12759
Beastie_Boys,21760
Garbage_(band),16935
The_Jesus_and_Mary_Chain,10015
Bo_Diddley,13300
The_Lovin'_Spoonful,27600
Faith_No_More,16083
Billy_Squier,4688
Queens_of_the_Stone_Age,14668
The_Everly_Brothers,9312
Marilyn_Manson_(band),46682
David_Bowie,43096
Paul_McCartney,43613
Hall_&_Oates,12996
Tom_Petty,15574
The_Animals,5109
White_Zombie_(band),4727
The_Band,13559
The_Go-Go's,7284
The_Cranberries,20270
Bon_Jovi,15241
Phil_Collins,31067
Interpol_(band),6688
The_Cab,8683
Alice_in_Chains,33491
Scorpions_(band),11237
Led_Zeppelin,22153
Billy_Idol,11012
Third_Eye_Blind,14208
Warrant_(American_band),5074
Boston_(band),8620
Manfred_Mann_(musician),2603
The_Clash,15958
Little_River_Band,18517
Joe_Satriani,9307
Parliament_(band),1873
Canned_Heat,6833
Creedence_Clearwater_Revival,10674
Bowling_for_Soup,11202
The_Mothers_of_Invention,9478
Social_Distortion,9377
Depeche_Mode,21744
Sly_and_the_Family_Stone,9617
Saving_Abel,2606
The_Beatles,37046
Travis_(band),7674
The_Black_Crowes,6391
Rage_Against_the_Machine,22701
Cage_the_Elephant,8044
My_Chemical_Romance,29412
Black_Veil_Brides,15648
Five_Finger_Death_Punch,17241
A_Perfect_Circle,14598
Bryan_Ferry,12113
The_Doors,16273
Stone_Sour,7322
Lou_Reed,16992
